accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp
0.0,0.0,9.81,0.0,0.0,0.0,24.0
0.0,0.0,9.81,0.0,0.0,0.0,24.0
0.0,0.0,9.81,0.0,0.0,0.0,24.0
0.0,0.0,9.81,0.0,0.0,0.0,24.0
0.0,0.0,9.81,0.0,0.0,0.0,24.0
0.0,0.0,9.81,0.0,0.0,0.0,24.0
0.0,0.0,9.81,0.0,0.0,0.0,24.0
0.0,0.0,9.81,0.0,0.0,0.0,24.0
0.0,0.0,9.81,0.0,0.0,0.0,24.0
0.0,0.0,9.81,0.0,0.0,0.0,24.0
0.0,0.0,9.81,0.0,0.0,0.0,24.0
0.0,0.0,9.81,0.0,0.0,0.0,24.0
0.98,0.0,9.81,0.0,0.0,0.0,24.0
1.96,0.0,9.81,0.0,0.0,0.0,24.0
2.94,0.0,9.81,0.0,0.0,0.0,24.0
2.94,0.0,9.81,0.0,0.0,0.0,24.0
1.96,0.0,9.81,0.0,0.0,0.0,24.0
0.0,0.0,9.81,0.0,0.0,0.0,24.0
-1.47,0.0,9.81,0.0,0.0,0.0,24.0
-2.94,0.0,9.81,0.0,0.0,0.0,24.0
-2.94,0.0,9.81,0.0,0.0,0.0,24.0
-2.94,7.35,9.81,0.0,0.0,0.0,24.0
-2.94,7.84,9.81,0.0,0.0,0.0,24.0
-2.94,7.84,9.81,0.0,0.0,0.0,24.0
-2.94,7.84,9.81,0.0,0.0,0.0,24.0
-2.94,7.84,9.81,0.0,0.0,0.0,24.0
-2.94,7.84,9.81,0.7,0.0,0.0,24.0
-2.94,7.84,9.81,1.05,0.0,0.0,24.0
-2.94,7.84,9.81,1.05,0.0,0.0,24.0
-2.94,7.84,9.81,1.05,1.57,0.0,24.0
-2.94,7.84,9.81,1.05,1.57,0.17,24.0
-2.94,7.84,9.81,1.05,1.57,-0.09,24.0
-2.94,7.84,9.81,1.05,1.57,1.13,24.0
-2.94,7.84,9.81,1.05,0.87,1.13,24.0
-2.94,7.84,9.81,1.05,-0.17,1.13,24.0
-2.94,7.84,9.81,1.83,-0.17,1.13,24.0
-2.94,7.84,9.81,1.66,-0.17,1.13,24.0
-2.94,7.84,9.81,0.09,-0.17,1.13,24.0
-2.94,7.84,9.81,0.09,-0.17,1.13,24.0
-2.94,7.84,9.81,0.09,-0.17,1.13,24.0
-2.94,4.9,9.81,0.09,-0.17,1.13,24.0
-2.94,-1.47,9.81,0.09,-0.17,1.13,24.0
-2.94,-1.47,9.81,0.09,-0.17,1.13,24.0
5.39,-1.47,9.81,0.09,-0.17,1.13,24.0
-0.98,-1.47,9.81,0.09,-0.17,1.13,24.0
6.86,-1.47,9.81,0.09,-0.17,1.13,24.0
6.86,-1.47,9.81,0.09,-0.17,1.13,24.0
6.86,-1.47,9.81,0.35,-0.17,1.13,24.0
6.86,-1.47,9.81,1.05,-0.17,1.13,24.0
6.86,-1.47,9.81,1.05,-0.44,1.13,24.0
6.86,-1.47,9.81,1.05,-0.09,1.13,24.0
6.86,-1.47,9.81,1.05,-1.05,1.13,24.0
6.86,-1.47,9.81,1.05,-1.05,1.13,24.0
6.86,-1.47,9.81,1.05,-1.05,2.27,24.0
6.86,-1.47,9.81,1.05,-1.05,-0.17,24.0
6.86,-1.47,9.81,1.05,-1.05,1.4,24.0
6.86,-1.47,9.81,1.05,-1.05,1.4,24.0
6.86,-1.47,9.81,-0.7,-1.05,1.4,24.0
6.86,-1.47,9.81,1.22,-1.05,1.4,24.0
6.86,-1.47,9.81,1.31,-1.05,1.4,24.0
6.86,-1.47,9.81,1.31,1.13,1.4,24.0
6.86,-1.47,9.81,1.31,-1.05,1.4,24.0
6.86,-1.47,9.81,1.31,-1.05,1.4,24.0
6.86,-1.47,9.81,1.31,-1.05,-1.13,24.0
6.86,-1.47,9.81,1.31,-1.05,-0.52,24.0
6.86,-1.47,9.81,1.31,-1.05,1.22,24.0
6.86,-1.47,9.81,1.31,-1.05,1.22,24.0
